260107-07:08:06.731495 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:09:56.746693 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:01.747475 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:06.748253 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:11.749117 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:16.749826 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:21.750578 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:26.751265 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:31.752272 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:36.754184 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:41.754867 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:46.755632 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:51.756250 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:10:56.756915 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:01.757709 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:06.758280 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:11.758750 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:16.759319 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:21.759802 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:26.760590 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:31.761610 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:36.762691 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:41.763220 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:46.763727 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:51.764180 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:11:56.764827 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:01.765632 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:06.766485 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:11.767273 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:16.768592 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:21.769340 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:26.770101 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:31.771058 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:36.772103 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:41.772654 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:46.773140 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:51.773597 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:12:56.774087 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:01.774773 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:06.775394 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:11.776221 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:16.777310 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:21.778181 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:26.779007 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:31.779479 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:36.780079 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:41.780945 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:46.781465 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:51.782451 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:13:56.783254 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:01.783921 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:06.784700 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:11.785228 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:16.785696 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:21.786521 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:26.787649 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:31.788376 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:36.788852 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:41.789311 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:46.790307 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:51.791219 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:14:56.791942 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:01.792868 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:06.793432 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:11.794262 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:16.795173 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:21.795685 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:26.796397 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:31.797190 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:36.797939 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:41.798885 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:46.799593 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:51.800044 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:15:56.802415 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:01.802890 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:06.803409 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:11.803867 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:16.804337 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:21.804796 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:26.805326 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:31.806192 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:36.807104 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:41.807823 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:46.808261 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:51.808750 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:16:56.809530 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:01.810528 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:06.812406 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:11.812872 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:16.813391 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:21.813860 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:26.814336 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:31.814970 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:36.815812 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:41.816657 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:46.817302 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:51.818145 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:17:56.819111 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:01.819902 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:06.820428 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:11.820967 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:16.821454 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:21.822390 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:26.822890 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:31.823579 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:36.824356 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:41.824900 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:46.825358 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:51.825821 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:18:56.826715 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:01.827601 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:06.828455 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:11.829510 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:16.830372 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:21.831004 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:26.831841 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:31.832592 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:36.833075 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:41.833882 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:46.834588 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:51.835049 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:19:56.835533 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:01.836390 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:06.837386 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:11.838449 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:16.839469 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:21.840387 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:26.841143 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:31.841581 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:36.842329 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:41.842887 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:46.843632 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:51.844488 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:20:56.845696 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:01.846443 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:06.846914 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:11.847389 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:16.848087 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:21.848606 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:26.849328 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:31.849863 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:36.850714 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:41.851654 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:46.852490 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:51.853266 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:21:56.854164 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:01.854936 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:06.855547 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:11.856297 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:16.857031 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:21.857625 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:26.858283 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:31.859150 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:36.860518 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:41.861122 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:46.861587 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:51.862148 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:22:56.862617 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:01.863326 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:06.863858 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:11.864558 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:16.865195 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:21.866054 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:26.866920 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:31.867823 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:36.868370 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:41.868834 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:46.869303 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:51.870005 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:23:56.871513 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:01.872605 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:06.873128 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:11.873767 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:16.874595 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:21.876334 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:26.876914 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:31.877672 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:36.878251 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:41.878752 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:46.879245 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:51.880041 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:24:56.880895 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:01.881525 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:06.882053 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:11.882568 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:16.883082 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:21.883974 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:26.884954 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:31.885822 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:36.886746 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:41.887392 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:46.887881 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:51.888322 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:25:56.888778 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:01.889471 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:06.890102 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:11.890588 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:16.891100 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:21.891770 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:26.892626 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:31.893282 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:36.893997 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:41.894834 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:46.895780 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:51.896659 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:26:56.897567 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:01.898437 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:06.899660 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:11.900099 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:16.900654 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:21.901396 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:26.906679 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:31.907143 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:36.907588 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:41.907973 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:46.908335 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:51.908754 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:27:56.909165 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:01.910100 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:06.910577 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:11.910995 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:16.911428 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:21.911827 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:26.912304 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:31.912761 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:36.913494 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:41.914130 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
260107-07:28:46.914602 [mod=PRVNMGR, lvl=INFO] [tid=1269] PRVMGR_BT_PAIRING state
